Param,Comparison,Max|dS| (linear),|dS_dB| at 100 GHz,|dS_dB| at 140 GHz (design freq.),|dS_dB| at 200 GHz
S11,5 um (uniform) -> 4 um (uniform),0.0183,0.4257,1.3481,0.0514
S11,4 um (uniform) -> 3 um (uniform),0.0233,0.4886,1.9316,0.0191
S11,3 um (uniform) -> 2 um (uniform),0.0290,0.4201,2.5385,0.2256
S11,2 um (uniform) -> 1 um (uniform),0.0359,0.5782,4.2556,0.0615
S11,"1 um (uniform) -> AMR (5 um start, 5 it.)",0.0243,0.3783,1.1460,0.0649
S11,"2 um (uniform) -> 2 um, order 3",0.0459,0.7385,5.1760,0.0532
S21,5 um (uniform) -> 4 um (uniform),0.0102,0.0576,0.0226,0.0493
S21,4 um (uniform) -> 3 um (uniform),0.0132,0.0774,0.0227,0.0551
S21,3 um (uniform) -> 2 um (uniform),0.0145,0.0521,0.0510,0.0613
S21,2 um (uniform) -> 1 um (uniform),0.0187,0.0720,0.0541,0.0861
S21,"1 um (uniform) -> AMR (5 um start, 5 it.)",0.0150,0.0579,0.0344,0.0794
S21,"2 um (uniform) -> 2 um, order 3",0.0252,0.1023,0.0630,0.1167
S23,5 um (uniform) -> 4 um (uniform),0.0093,0.1815,0.1190,0.0827
S23,4 um (uniform) -> 3 um (uniform),0.0126,0.2639,0.1754,0.0965
S23,3 um (uniform) -> 2 um (uniform),0.0147,0.3240,0.2336,0.1541
S23,2 um (uniform) -> 1 um (uniform),0.0169,0.3598,0.2605,0.1659
S23,"1 um (uniform) -> AMR (5 um start, 5 it.)",0.0117,0.2637,0.1814,0.0712
S23,"2 um (uniform) -> 2 um, order 3",0.0221,0.4758,0.3377,0.1752
