Param,Mesh,Max|dS| vs. 1 um (uniform) (linear),|dS_dB| at 100 GHz,|dS_dB| at 140 GHz (design freq.),|dS_dB| at 200 GHz
S11,5 um (uniform),0.1052,1.9127,10.0737,0.2548
S11,4 um (uniform),0.0870,1.4869,8.7256,0.3062
S11,3 um (uniform),0.0642,0.9984,6.7941,0.2872
S11,2 um (uniform),0.0359,0.5782,4.2556,0.0615
S11,"AMR (5 um start, 5 it.)",0.0243,0.3783,1.1460,0.0649
S11,"2 um, order 3",0.0101,0.1602,0.9204,0.0084
S21,5 um (uniform),0.0554,0.2591,0.1504,0.2519
S21,4 um (uniform),0.0455,0.2015,0.1278,0.2025
S21,3 um (uniform),0.0331,0.1241,0.1051,0.1475
S21,2 um (uniform),0.0187,0.0720,0.0541,0.0861
S21,"AMR (5 um start, 5 it.)",0.0150,0.0579,0.0344,0.0794
S21,"2 um, order 3",0.0066,0.0302,0.0089,0.0306
S23,5 um (uniform),0.0530,1.1292,0.7885,0.4992
S23,4 um (uniform),0.0439,0.9477,0.6696,0.4165
S23,3 um (uniform),0.0314,0.6838,0.4942,0.3199
S23,2 um (uniform),0.0169,0.3598,0.2605,0.1659
S23,"AMR (5 um start, 5 it.)",0.0117,0.2637,0.1814,0.0712
S23,"2 um, order 3",0.0052,0.1160,0.0772,0.0093
