Freq (GHz),Mesh,L (nH),L_ref (1 um (uniform)) (nH),dL (%),Q,Q_ref (1 um (uniform)),dQ (%)
1.0,5 um (uniform),0.7796,0.7853,-0.72,2.99,3.02,-0.89
1.0,3 um (uniform),0.7828,0.7853,-0.32,3.01,3.02,-0.38
1.0,2 um (uniform),0.7842,0.7853,-0.15,3.01,3.02,-0.20
1.0,"AMR (5 um start, 2 it.)",0.7860,0.7853,+0.09,3.02,3.02,+0.06
10.0,5 um (uniform),0.7677,0.7750,-0.95,17.07,17.77,-3.92
10.0,3 um (uniform),0.7717,0.7750,-0.43,17.41,17.77,-2.00
10.0,2 um (uniform),0.7734,0.7750,-0.22,17.56,17.77,-1.17
10.0,"AMR (5 um start, 2 it.)",0.7756,0.7750,+0.07,17.76,17.77,-0.04
25.0,5 um (uniform),0.8683,0.8695,-0.14,20.26,21.58,-6.11
25.0,3 um (uniform),0.8689,0.8695,-0.07,20.88,21.58,-3.20
25.0,2 um (uniform),0.8690,0.8695,-0.06,21.17,21.58,-1.89
25.0,"AMR (5 um start, 2 it.)",0.8705,0.8695,+0.11,21.56,21.58,-0.05
