Param,Mesh,Max|dS| vs. 1 um (uniform) (linear),|dS_dB| at 1GHz,|dS_dB| at 25GHz,|dS_dB| at 50GHz
S11,5 um (uniform),0.0271,0.0930,0.0440,0.0153
S11,3 um (uniform),0.0113,0.0433,0.0228,0.0036
S11,2 um (uniform),0.0056,0.0198,0.0122,0.0005
S11,"AMR (5 um start, 2 it.)",0.0024,0.0025,0.0009,0.0000
S21,5 um (uniform),0.0108,0.0002,0.0266,0.2116
S21,3 um (uniform),0.0044,0.0001,0.0142,0.0773
S21,2 um (uniform),0.0019,0.0001,0.0070,0.0341
S21,"AMR (5 um start, 2 it.)",0.0007,0.0001,0.0018,0.0022
S22,5 um (uniform),0.0165,0.0936,0.0450,0.0149
S22,3 um (uniform),0.0086,0.0441,0.0234,0.0034
S22,2 um (uniform),0.0035,0.0204,0.0125,0.0005
S22,"AMR (5 um start, 2 it.)",0.0010,0.0021,0.0009,0.0000
