Frequency (GHz),C12 (fF)
0.010,25.5955
0.020,25.5955
1.000,25.5979
2.000,25.6014
3.000,25.6056
4.000,25.6103
5.000,25.6154
6.000,25.6207
7.000,25.6263
8.000,25.6321
9.000,25.6382
10.000,25.6446
11.000,25.6514
12.000,25.6586
13.000,25.6662
14.000,25.6743
15.000,25.6829
16.000,25.6920
17.000,25.7015
18.000,25.7116
19.000,25.7221
20.000,25.7332
21.000,25.7448
22.000,25.7570
23.000,25.7697
24.000,25.7829
25.000,25.7966
26.000,25.8109
27.000,25.8258
28.000,25.8411
29.000,25.8571
30.000,25.8736
31.000,25.8906
32.000,25.9082
33.000,25.9263
34.000,25.9450
35.000,25.9643
36.000,25.9841
37.000,26.0045
38.000,26.0254
39.000,26.0469
40.000,26.0690
41.000,26.0917
42.000,26.1149
43.000,26.1388
44.000,26.1632
45.000,26.1881
46.000,26.2137
47.000,26.2399
48.000,26.2666
49.000,26.2940
50.000,26.3219
