Param,Mesh,Max|dS| vs. 1 um (uniform) (linear),|dS_dB| at f_low,|dS_dB| at 80GHz (design freq.),|dS_dB| at f_high
Sdd11,4 um (uniform),0.0849,0.0067,0.3330,0.0407
Sdd11,3 um (uniform),0.0693,0.0069,0.2322,0.0320
Sdd11,2 um (uniform),0.0342,0.0002,0.1057,0.0168
Sdd11,"AMR (2 um start, 3 it.)",0.0283,0.0015,0.0875,0.0238
Sdd21,4 um (uniform),0.0352,0.0552,0.1737,0.2885
Sdd21,3 um (uniform),0.0261,0.0601,0.1242,0.2135
Sdd21,2 um (uniform),0.0130,0.0003,0.0571,0.1028
Sdd21,"AMR (2 um start, 3 it.)",0.0114,0.0173,0.0348,0.1843
Sdd22,4 um (uniform),0.0542,0.0053,0.2924,0.0197
Sdd22,3 um (uniform),0.0348,0.0048,0.2073,0.0133
Sdd22,2 um (uniform),0.0160,0.0005,0.0942,0.0111
Sdd22,"AMR (2 um start, 3 it.)",0.0172,0.0014,0.0782,0.0160
